week_id,date,sessions,online_leads_actuals,test_drive_request,offer_request,total_configs_finished,keep_me_updated,dealer_locator,private_orders
80,7/8/2018,24420,61,38,23,2396,0,2464,17
80,7/9/2018,28615,49,23,26,2713,0,3532,16
80,7/10/2018,33702,85,52,33,3167,0,3752,13
80,7/11/2018,28600,89,46,43,2792,0,3112,11
80,7/12/2018,28625,76,41,35,2888,0,3383,8
80,7/13/2018,27500,83,41,42,2804,0,3275,5
80,7/14/2018,26579,64,32,32,2809,0,2996,3
81,7/15/2018,27350,65,27,38,2919,0,2872,1
81,7/16/2018,29641,81,43,38,3169,0,3706,1
81,7/17/2018,29649,65,36,29,3087,0,3666,1
81,7/18/2018,29634,72,36,36,3151,0,3563,1
81,7/19/2018,31952,56,35,21,3011,0,3525,1
81,7/20/2018,31282,55,32,23,3094,1,3528,0
81,7/21/2018,28938,52,31,21,3095,0,3271,0
82,7/22/2018,28962,40,18,22,3029,0,2970,0
82,7/23/2018,31261,53,30,23,3170,0,3671,1
82,7/24/2018,28973,90,51,39,2875,0,3464,1
82,7/25/2018,27506,71,44,27,2884,0,3345,1
82,7/26/2018,26244,61,35,26,2827,0,3117,1
82,7/27/2018,27308,71,41,30,2891,0,3300,2
82,7/28/2018,27909,85,47,38,3365,0,3579,1
83,7/29/2018,29864,89,53,36,3840,0,3526,1
83,7/30/2018,30332,76,41,35,3423,0,3891,1
83,7/31/2018,28658,58,28,30,3162,0,3632,1
83,8/1/2018,31749,68,44,24,3242,1,3548,1
83,8/2/2018,31320,70,36,34,3341,0,3384,1
83,8/3/2018,29947,70,40,30,3325,0,3464,1
83,8/4/2018,28431,51,25,26,3286,0,3130,1
84,8/5/2018,28923,47,18,29,3322,0,2842,2
84,8/6/2018,30604,80,41,39,3324,0,3946,2
84,8/7/2018,28887,58,32,26,3067,0,3510,2
84,8/8/2018,29269,83,47,36,3077,0,3508,2
84,8/9/2018,29015,77,49,28,3112,0,3519,2
84,8/10/2018,30212,70,31,39,3224,1,3706,2
84,8/11/2018,28671,67,51,16,3274,2,3219,2
85,8/12/2018,30557,65,33,32,3683,0,3284,2
85,8/13/2018,31331,62,35,27,3319,0,3875,1
85,8/14/2018,30945,79,43,36,3673,0,3713,1
85,8/15/2018,27557,49,20,29,3225,0,3563,2
85,8/16/2018,27560,77,52,25,3300,1,3458,1
85,8/17/2018,27577,54,34,20,3298,2,3450,2
85,8/18/2018,26101,35,19,16,3085,0,3336,2
86,8/19/2018,26867,64,34,30,3476,0,3240,1
86,8/20/2018,29982,73,44,29,3172,0,3870,2
86,8/21/2018,26836,86,42,44,3086,0,3463,2
86,8/22/2018,27436,75,52,23,2894,0,3536,2
86,8/23/2018,26071,69,43,26,2869,0,3294,2
86,8/24/2018,26828,74,46,28,3116,0,3556,2
86,8/25/2018,23973,79,60,19,2981,0,3079,2
87,8/26/2018,25885,74,44,30,3295,0,3144,2
87,8/27/2018,26606,67,43,24,2971,0,3351,2
87,8/28/2018,21923,94,61,33,2993,1,3495,2
87,8/29/2018,21338,83,38,45,2985,1,3266,3
87,8/30/2018,20607,78,58,20,2802,0,3101,3
87,8/31/2018,18980,72,36,36,2718,0,2886,4
